,post_url,author,author_url,author_type,description,media_type,media_url
0,https://www.linkedin.com/feed/update/urn:li:activity:6768626089234460672/,Mario Mejía,https://www.linkedin.com/in/mario-mej%C3%ADa-509602ab,User,"Hola estima red, en Applaudo Studios tenemos posiciones abiertas para Scrum Master y Product Owners. Si tienes experiencia vigente en cualquiera de los roles y estás interesado en aplicar, puedes hacerlo directamente en nuestro sitio https://lnkd.in/gq9XwGz

Join the #bestplacetocode!

#remote #scrummaster #productowner #hiring",Shared link outside LinkedIn without image,http://applaudostudios.com/careers
0,https://www.linkedin.com/feed/update/urn:li:activity:6767242673704230913/,Applaudo Studios,https://www.linkedin.com/company/applaudo-studios/,Company,"We are kicking off the week with good news: Applications for our Android and iOS Trainee Scholarship Program are now open! Don’t miss your chance to apply and go to apply.applaudostudios.com 💪

#BestPlaceToCode #CodeThatChangesLives",Single image,https://media-exp3.licdn.com/dms/image/C4E22AQHRbDc5xuA0mA/feedshare-shrink_800/0/1613436382082?e=1629331200&v=beta&t=J6gFQP_RZzxISYsIY-ihs3EvzcUKuF6bnGeReoOn1Ec
0,https://www.linkedin.com/feed/update/urn:li:activity:6774761877705781248/,Microsoft Partner Network,https://www.linkedin.com/company/microsoft-partner-network/,Company,"On International Women's Day, we're celebrating women in cloud who enrich our community and make it more diverse and powerful. Women-led organizations play a vital part in the #MSPartner ecosystem.

Their solutions contribute to digital transformation that enables customers to navigate and adapt to current challenges.

Take part in this opportunity to #BuildFor2030 and learn how you can accelerate gender equality:
https://msft.it/6001VEnXV",Shared link outside LinkedIn,https://msft.it/6001VEnXV
0,https://www.linkedin.com/feed/update/urn:li:activity:6787532268354228224/,Applaudo Studios,https://www.linkedin.com/company/applaudo-studios/,Company,"We have open positions in our HR team! If you are interested, go to our website https://lnkd.in/dcNQa2x and apply!

The hiring and onboarding process is held remotely.

#BestPlaceToCode #CodeThatChangesLives",Single image,https://media-exp3.licdn.com/dms/image/C4E22AQHl9AxF_xOZig/feedshare-shrink_800/0/1618273798615?e=1629331200&v=beta&t=FrH679hQS6tcBapi22UklIIqDi2npD7CWKfMzwenDZc
0,https://www.linkedin.com/feed/update/urn:li:activity:6792586051337678848/,KODIGO,https://www.linkedin.com/company/kod1go/,Company,Te invitamos a acompañarnos vía FACEBOOK LIVE mañana 27 de abril #Kodigo,Single image,https://media-exp3.licdn.com/dms/image/C4E22AQF2M7buxobywA/feedshare-shrink_800/0/1619478713413?e=1629331200&v=beta&t=xWyCEh_LTMXb-_aYixUhbvwreinrq2mpza3oQK2wQQI
0,https://www.linkedin.com/feed/update/urn:li:activity:6792875985743200257/,KODIGO,https://www.linkedin.com/company/kod1go/,Company,"Relanzamos nuestra marca y el programa que revolucionará tu vida, te preparará en el área de la tecnología y te ayudará a INCREMENTAR tus INGRESOS.

¡Puedes ver la grabación de nuestro LIVE en Facebook!
No olvides visitar nuestro sitio web para obtener más información: https://kodigo.org/

#Kodigo #Tecnología #ElSalvador #AcademiaTecnológica",Single image,https://media-exp3.licdn.com/dms/image/C4E22AQFujTHU-soy0Q/feedshare-shrink_800/0/1619547839869?e=1629331200&v=beta&t=2iQIfDcGVLbrOHqNcUtXLnv67QsUhwAiKDbYcS74p3Y
0,https://www.linkedin.com/feed/update/urn:li:activity:6792406178434424832/,Natal Dank,https://www.linkedin.com/in/nataldank,User,"Shaping up to a great event. We've designed some excellent templates to guide your learning and more importantly help you work evidenced-based on your Diversity, Equity and Inclusion (DEI) Strategy back in the workplace.

Only £30 plus tax for 3-hours of practical learning, insights and few laughs. Special guests Melissa Sabella (she/her) & Caroline Marsh (she/her) from The Honeycomb Works. Group discounts available, just get in touch.

#diversity #inclusion #culture #diversityandinclusion #agilehr",Other,
0,https://www.linkedin.com/feed/update/urn:li:activity:6793953548905312256/,IDB Lab,https://www.linkedin.com/company/idblab/,Company,"IDB Lab y la academia de #tecnología creativa KODIGO reanudan su compromiso para fomentar la #formación de habilidades que fortalezcan la industria tecnológica de #ElSalvador. Ambas instituciones firmaron un acuerdo de cooperación, “Kod1ficando para Mejorar Vidas,” que contará con una inversión de $1,5 millones para realizar el primer bootcamp de capacitación exhaustiva y acelerada en desarrollo de #software que se imparte íntegramente en el país. Pondrá especial énfasis en poblaciones vulnerables, especialmente #mujeres y #jóvenes. Aquí te contamos los detalles https://lnkd.in/eKfVBw7

Applaudo Studios, Fundación Gloria de Kriete, Inter-American Development Bank, Maria Luisa Hayem, Fernando Kriete, Darwin Romero, Jose Giammattei, Vladimir Handal, Fabrizio Mena, Cesar Falconi, Elena Heredero Rodriguez, Laura Ripani, Fernando Yitzack Pavon, César Buenadicha",Shared link outside LinkedIn,https://bidlab.org/es/noticias/1816/bid-lab-y-kodigo-capacitaran-1500-jovenes-en-el-primer-bootcamp-de-programacion-en-el
0,https://www.linkedin.com/feed/update/urn:li:activity:6793956545118949376/,"Irene Arias Hofman, CFA",https://www.linkedin.com/in/iarias,User,"Se estima que nuestra región necesitará más de un millón de desarrolladores de #software en los próximos tres años. IDB Lab y la academia de tecnología creativa KODIGO hemos firmado un acuerdo de cooperación para desarrollar “Kod1ficando para Mejorar Vidas,” que fomenta la #formación de habilidades tecnológicas y #digitales para fortalecer la industria tecnológica de #ElSalvador y brindar a miles de jóvenes salvadoreños una oportunidad para salir adelante . Esta iniciativa contará con una inversión de $1,5 millones para realizar el primer bootcamp de capacitación exhaustiva y acelerada en desarrollo de #software que se imparte íntegramente en el país, y ponemos especial énfasis en poblaciones vulnerables, especialmente #mujeres y #jóvenes. Aquí os cuento los detalles https://lnkd.in/ezCGePR

Applaudo Studios, Fundación Gloria de Kriete, Inter-American Development Bank, Richard Martínez Alvarado, Benigno Lopez, Cesar Falconi, Maria Luisa Hayem, Fernando Kriete, Darwin Romero, Jose Giammattei, Vladimir Handal, Fabrizio Mena, Carmen Blandón, Elena Heredero Rodriguez, Laura Ripani, Fernando Yitzack Pavon, César Buenadicha",Single image,https://media-exp3.licdn.com/dms/image/C4E22AQFaOUkkEe8TBw/feedshare-shrink_800/0/1619805465161?e=1629331200&v=beta&t=7vY8eoLupAq-wmAQ-V4oDcVA6Y1fE554iXydthvqzfA
0,https://www.linkedin.com/feed/update/urn:li:activity:6800242334031196160/,WITI Austin,https://www.linkedin.com/company/witi-austin/,Company,"IT'S TOMORROW! Do you cringe when you hear the word networking? Do you come out of “networking opportunities” feeling like you didn’t form any meaningful relationships? Do you struggle with maintaining your network over time? Join us tomorrow (Tue) 5.30 pm CST, as we observe a “mock networking interaction” with two women leaders that don’t know each other in real life and then spend some time talking about where that interaction went well, where it could have been better and tips for you to be more successful in your own networking journey. Register here: https://bit.ly/3fhVLwi ***Not a WITI member yet? Use code ""Katina"" to see the great content we share in our events!*** #networking #professionaldevelopment #womenintech #womenintechnology #personalgrowth #witiaustin #womenleaders #workrelationships",Single image,https://media-exp3.licdn.com/dms/image/C4D22AQEqEfo-W_89Bw/feedshare-shrink_800/0/1621304113674?e=1629331200&v=beta&t=YxWLLtGnvijKvewK1nOzQhRjBWlzTvG_bQ0yRDENTVw
